54.434 43.183999999999999  6    1
42.407 93.511999999999999  7    1
64.106 83.838999999999999  7    1
96.655 40.440999999999999  7    1
40.053 29.591999999999999  8    1
34.432 70.584999999999999  6    2
71.993 87.404999999999999  7    2
77.364 26.910999999999999  7    2
85.420 76.416999999999999  7    2
61.038 63.730999999999999  7    2
33.971 73.483999999999999  7    2
36.656 22.989999999999999  7    2
42.027 50.303999999999999  7    2
50.083 17.865999999999999  7    2
93.263 47.056999999999999  7    2
74.252 42.247999999999999  7    2
14.746 12.000999999999999  7    2
84.993 87.618999999999999  7    2
79.623 25.921999999999999  7    2
74.252 98.607999999999999  7    2
44.005 18.854999999999999  7    2
98.634 79.348999999999999  7    2
90.578 14.719999999999999  7    2
82.521 44.966999999999999  7    2
46.904 92.528999999999999  7    2
63.724 50.090999999999999  7    2
52.982 40.584999999999999  7    2
42.241 30.831999999999999  8    2
